Altium Designer Pick and Place Locations
D:\ODG-PROJECT\nRLC\AD_Projects\ODG_nRLC_Project\Pick Place for nRLC_Project.csv

========================================================================================================================
File Design Information:

Date:       11/03/22
Time:       15:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P11","PJ320","TopLayer","PJ320A","3107.953","1316.063","0",""
"P12","PJ320","BottomLayer","PJ320A","3107.953","441.063","180",""
"*8","ODG_LOGO","TopLayer","ODG_LOGO","0.000","0.000","360",""
"*7","ODG_LOGO","BottomLayer","ODG_LOGO","0.000","0.000","360",""
"*6","ODG_LOGO","TopLayer","ODG_LOGO","0.000","0.000","360",""
"*5","ODG_LOGO","BottomLayer","ODG_LOGO","0.000","0.000","360",""
"U15","CCR2640R2F","BottomLayer","信驰达_RF-BM-4044B4","2472.165","400.000","90","CC2640R2F 
无线蓝牙串口模块"
"U9","CCR2640R2F","BottomLayer","信驰达_RF-BM-4044B5","2477.087","1275.000","90","CC2640R2F 
无线蓝牙串口模块"
"P2","PJ320","BottomLayer","PJ320A","253.937","136.220","270",""
"P1","PJ320","BottomLayer","PJ320A","253.937","663.779","270",""
"D3","1N4148WT","TopLayer","SOD-523","1618.001","26.000","180",""
"C74","1nF","BottomLayer","C0603","1830.000","1060.000","180","Capacitor"
"DA2","AD8542ARUZ","TopLayer","TSSOP-8+MSOP-8","705.000","690.000","0","通用型CMOS双路轨到轨放大器
General-Purpose CMOS Dual Rail-to-Rail Amplifier"
"P10","CONN_2P","BottomLayer","1.27MM_MALE_X2","100.000","1365.000","180",""
"P9","CONN_2P","BottomLayer","1.27MM_MALE_X2","100.000","1185.000","180",""
"P8","CONN_2P","BottomLayer","1.27MM_FEMALE_X2","100.000","310.000","180",""
"P7","CONN_2P","BottomLayer","1.27MM_FEMALE_X2","100.000","490.000","180",""
"VD1","BAV99W","TopLayer","DIODES_SOT-323-3","1990.000","285.000","180","Dual Series Switching Diodes"
"*","ODG_LOGO","TopOverlay","ODG_LOGO","0.000","0.000","0",""
"*4","ODG_LOGO","BottomOverlay","ODG_LOGO","0.000","0.000","360",""
"*1","Lipo_Battery","BottomLayer","402030锂电池180MAH(28X20X4MM)","0.000","0.000","180",""
"C51","0.1uF","TopLayer","C0603","1475.000","235.000","360","Capacitor"
"U2","PGA113AIDGST","TopLayer","TI_MSOP-10_DGS","1015.000","155.000","360",""
"U1","PGA113AIDGST","TopLayer","TI_MSOP-10_DGS","1015.000","400.000","360",""
"C26","1uF","BottomLayer","C0603","520.000","150.000","270","Capacitor"
"C28","N/I","BottomLayer","C0603","730.000","150.000","270","Capacitor"
"C1","1uF","BottomLayer","C0603","625.000","595.000","180","Capacitor"
"C6","100pF","BottomLayer","C0603","710.000","685.000","270","Capacitor"
"C2","10uF","BottomLayer","C0603","625.000","545.000","180","Capacitor"
"C10","1uF","BottomLayer","C0603","910.000","685.000","270","Capacitor"
"C24","1uF","BottomLayer","C0603","550.000","235.000","360","Capacitor"
"C5","1uF","BottomLayer","C0603","760.000","685.000","90","Capacitor"
"C25","10uF","BottomLayer","C0603","550.000","285.000","360","Capacitor"
"C12","47uF/6.3V","BottomLayer","CAP_POL_3216","255.000","465.000","180","Capacitor"
"C30","47uF/6.3V","BottomLayer","CAP_POL_3216","525.000","410.000","90","Capacitor"
"C7","100pF","BottomLayer","C0603","860.000","685.000","270","Capacitor"
"C13","1uF","BottomLayer","C0603","355.000","340.000","90","Capacitor"
"C31","1uF","BottomLayer","C0603","640.000","320.000","90","Capacitor"
"C17","1uF","TopLayer","C0603","535.000","450.000","360","Capacitor"
"C33","1uF","TopLayer","C0603","815.000","325.000","270","Capacitor"
"C18","100pF","TopLayer","C0603","845.000","500.000","180","Capacitor"
"C34","100pF","TopLayer","C0603","815.000","105.000","90","Capacitor"
"C23","1uF","TopLayer","C0603","885.000","280.000","270","Capacitor"
"C32","1uF","TopLayer","C0603","895.000","75.000","180","Capacitor"
"C8","47uF/6.3V","BottomLayer","CAP_POL_3216","670.000","435.000","180","Capacitor"
"C14","47uF/6.3V","BottomLayer","CAP_POL_3216","785.000","530.000","180","Capacitor"
"C22","100pF","TopLayer","C0603","1166.046","267.501","90","Capacitor"
"C27","100pF","TopLayer","C0603","1175.000","155.000","270","Capacitor"
"C9","1uF","TopLayer","C0603","535.000","580.000","90","Capacitor"
"C15","1uF","TopLayer","C0603","845.000","550.000","180","Capacitor"
"C35","1uF","TopLayer","C0603","1075.000","245.000","360","Capacitor"
"C11","1uF","TopLayer","C0603","735.000","600.000","360","Capacitor"
"C16","1uF","TopLayer","C0603","625.000","500.000","360","Capacitor"
"C3","1uF","TopLayer","C0603","625.000","600.000","360","Capacitor"
"C36","1uF","TopLayer","C0603","965.000","245.000","180","Capacitor"
"C19","1uF","TopLayer","C0603","1075.000","490.000","360","Capacitor"
